id,name,lastname,gender,nationality
1,"Ã–RSTED, Hans-Henrik",M,DEN
2,"Ã–RTEGREN, Ruben",M,SWE
3,"Ã–RVIG, Erik",M,NOR
4,"Ã–RVIG, Olav",M,NOR
5,"Ã–RVIG, Thor",M,NOR
6,"Ã–STENSEN, Ã–sten",M,NOR
7,"Ã–STERVOLD, Henrik",M,NOR
8,"Ã–STERVOLD, Jan Olsen",M,NOR
9,"Ã–STERVOLD, Kristian Olsen",M,NOR
10,"Ã–STERVOLD, Ole Olsen",M,NOR
11,"Ã–STMO, Ole",M,NOR
12,"Ã–STRAND, Per-Olof",M,SWE
13,"AABYE, Edgar",M,ZZX
14,"AALTONEN, Arvo Ossian",M,FIN
15,"AALTONEN, Paavo Johannes",M,FIN
16,"AAMODT, Ragnhild",F,NOR
17,"AANING, Alf Lied",M,NOR
18,"AARDENBURG, Willemien",F,NED
19,"AARDEWIJN, Pepijn",M,NED
20,"AARONES, Ann Kristin",F,NOR
21,"AAS, Karl Jan",M,NOR
22,"AAS, Thomas Valentin",M,NOR
23,"ABAJO, Jose Luis",M,ESP
24,"ABAKUMOVA, Maria",F,RUS
25,"ABALMASAU, Aliaksei",M,BLR
26,"ABALO, Luc",M,FRA
27,"ABANDA ETONG, Patrice",M,CMR
28,"ABARCA, Jose Maria",M,ESP
29,"ABAS, Stephen",M,USA
30,"ABASCAL GARCIA, Alejandro",M,ESP
31,"ABASCAL GOMEZ, Jose Manuel",M,ESP
32,"ABASSOVA, Tamilla",F,RUS
33,"ABATI, Joel",M,FRA
34,"ABAY-NEMES, Oszkar",M,HUN
35,"ABAY, Peter",M,HUN
36,"ABBA, Silvano",M,ITA
37,"ABBAGNALE, Agostino",M,ITA
38,"ABBAGNALE, Carmine",M,ITA
39,"ABBAGNALE, Giuseppe",M,ITA
40,"ABBOTT, Des",M,AUS
41,"ABBOTT, Margaret Ives",F,USA
42,"ABBOTT, Monica",F,USA
43,"ABDALLAH, Nia",F,USA
44,"ABDO, Reema",F,CAN
45,"ABDOOLLAYEV, Mahammatkodir",M,UZB
46,"ABDUL, Hamid",M,PAK
47,"ABDUL, Rashid I",M,PAK
48,"ABDUL, Rashid III",M,PAK
49,"ABDUL, Rashid IV",M,PAK
50,"ABDUL, Waheed",M,PAK
51,"ABDULBEKOV, Zagalav",M,URS
52,"ABDULLAYEV, Namig",M,AZE
53,"ABDUR-RAHIM, Shareef",M,USA
54,"ABDUSALOMOV, Yusup",M,TJK
55,"ABDUVALIEV, Andrey",M,EUN
56,"ABEBE, Addis",M,ETH
57,"ABEGGLEN, Max",M,SUI
